"ANNOUNCEMENT_NUMBER","COMPANY_ID","CREATED_ON","BALANCE_DATE","AMOUNT","SHAREHOLDER_FUNDS","INTANGIBLES","EFPO_ISSUED_SHARES","CURRENCY_ID","LAST_EOY_DATE","COY_COMPANY_NO","COA_LAST_MODIFIED","COA_RELEASE_DATETIME","COA_ANN_TYPE","INS_ISIN","INS_ISIN_SUFFIX","INS_INSTR_CODE"
227267,"OMG000000",13/09/2012,30/06/2012,558000,8200000,0,414550000,"NZD",30/06/2011,"OMG000000",13/09/2012,13/09/2012,"FLLYR","NZRLVE0001S2","  ","MEE"
167949,"RNS000000",29/07/2008,30/06/2008,1464000,17020000,10666000,44273267,"NZD",31/12/2007,"RNS000000",29/07/2008,29/07/2008,"HALFYR","NZTMPE0001S8","  ","RNS"
161841,"WEL000000",13/03/2008,31/12/2007,-2249000,10201000,2382000,235679952,"NZD",30/06/2007,"WEL000000",13/03/2008,13/03/2008,"HALFYR","NZWELE0002S6","  ","WEL14"
226217,"SUM000000",20/08/2012,30/06/2012,3938000,237654000,617000,214819360,"NZD",31/12/2011,"SUM000000",21/08/2012,21/08/2012,"HALFYR","NZSUME0001S0","  ","SUM"
226237,"EBO000000",21/08/2012,30/06/2012,27949000,208601000,211713000,52107487,"NZD",30/06/2011,"EBO000000",21/08/2012,21/08/2012,"FLLYR","NZEBOE0001S6","  ","EBO"
226245,"CMO000000",21/08/2012,30/06/2012,15123000,122091000,1202797,32694632,"NZD",30/06/2011,"CMO000000",21/08/2012,21/08/2012,"FLLYR","NZCMOE0001S7","  ","CMO"
226254,"PGW000000",22/08/2012,30/06/2012,23486000,575017000,332925000,754848774,"NZD",30/06/2011,"PGW000000",22/08/2012,22/08/2012,"FLLYR","NZREIE0001S4","  ","PGW"
226269,"TME000000",22/08/2012,30/06/2012,75592000,638579000,773399000,395745510,"NZD",30/06/2011,"TME000000",22/08/2012,22/08/2012,"FLLYR","NZTMEE0003S8","  ","TME"
226274,"FBU000000",22/08/2012,30/06/2012,185000000,3571000000,1762000000,682866936,"NZD",30/06/2011,"FBU000000",22/08/2012,22/08/2012,"FLLYR","NZFBUE0001S0","  ","FBU"
226275,"NZO000000",22/08/2012,30/06/2012,19887000,355011000,35000,392787795,"NZD",30/06/2011,"NZO000000",12/05/2017,22/08/2012,"FLLYR","NZNZOE0010S7","  ","NZO"
226279,"NZE000000",22/08/2012,30/06/2012,1434000,6917000,0,37000000,"NZD",30/06/2011,"NZE000000",22/08/2012,22/08/2012,"FLLYR","NZMCGE000AS8","  ","NZE"
226282,"PBG000000",22/08/2012,30/06/2012,-450650000,686383000,580553000,914585680,"AUD",30/06/2011,"PBG000000",22/08/2012,22/08/2012,"FLLYR","AU000000PBG6","  ","PBG"
