Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
MWE.NZ,30/06/2017,30/06/2017,-0.2000000496705353,0.17005324979508574,False,3822,3410,411.537,2361,-1949,-358.437,-2493,-4801,-418.977,-4382,0,0,290872,290872,-4382,-1990,8.437,366.874,-358.437,3410,921.875,-4382,-2620,-2620,-891.946,0,-228.6589,22311,6558,15754,15754,15754,14362,-851.612,21854,14362,6204,5601,290872,290872,82.343,-935.502,-83.256,498.821,268.149,365.223,-933.002,0,0,-83.256,-850.659,0,0,104.087,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
NWF.NZ,30/06/2017,30/06/2017,0.4047752386587158,0.17005324979508574,True,5981,0,5981,8082,-2101,-648,3659,910,261,649,0,0,288064,288064,649,-1891,296,944,-648,0,2284,649,3562,3562,576,0,1022,70891,9699,61192,61192,61192,57657,8713,61192,57657,8886,0,288064,288064,-825,-19,-471,1291,0,945,-1530,0,0,0,-2355,0,0,8886,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
NZK.NZ,30/06/2017,30/06/2017,0.4915949149885821,0.17005324979508574,True,136351,65034,71317,39724,31593,-1802,2574,32365,9601,22764,0,0,138158,138158,22764,22744,188,1990,-1802,65034,4366,22764,28,28,38693,0,8.3061,204512,45837,158675,168675,158675,115733,89748,168945,115733,10538,0,138158,138158,5330,-7468,10366,10647,2999,1317,-7497,30105,0,-8876,-2167,-1797,0,268,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
NZO.NZ,30/06/2017,30/06/2017,-0.020800031396273844,0.17005324979508574,False,37058,1127,35931,65182,-29251,1371,232,-27648,5095,62695,0,0,311450,311450,62695,-22606,2334,963,1371,1127,467,-22606,0,0,-26218,0,0,172576,23520,149056,147416,146270,145620,124366,147416,145620,1146,0,159429,159429,17127,135961,-122968,125103,11242,0,-22549,-10,0,0,-5422,-109446,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
PCT.NZ,30/06/2017,30/06/2017,0.14782695500000376,0.17005324979508574,False,126200,7700,118500,37900,80600,-3400,89300,166500,4400,162100,0,0,1211100,1211100,162100,162100,100,3500,-3400,7700,0,162100,0,0,170000,0,0,2079200,573600,1505600,1962500,1505600,1505600,-57400,1962500,1505600,456900,452600,1211100,1211100,52700,-214600,163600,4300,17500,2400,0,0,192500,38300,52700,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
PGW.NZ,30/06/2017,30/06/2017,0.3297552759838456,0.17005324979508574,True,1131530,803221,328309,276907,51402,-4725,10032,56709,10428,45607,0,0,75485,75485,45607,45577,1433,6158,-4725,803221,11801,45577,0,0,74668,0,0,702148,412437,289711,398172,287247,278118,256088,424891,278118,137644,128241,75485,75485,20468,6893,-25519,9403,10408,6321,-17110,0,3715,0,3358,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
POT.NZ,30/06/2017,30/06/2017,0.18629941440303788,0.17005324979508574,True,256487,62160,194327,79792,114535,-16833,13645,111347,27906,83441,0,0,670581,678382,83441,83441,372,17205,-16833,62160,24460,83441,0,0,153012,0,0,1422600,490657,931943,1057166,931943,913924,-248494,1312306,913924,380363,375179,680391,680391,98185,-55694,-48887,5184,29444,17314,-65385,0,60189,0,32800,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
SDL.NZ,30/06/2017,30/06/2017,-0.21120087994985715,0.17005324979508574,False,19788,0,19788,18163,1625,1,176,1802,492,1310,0,0,14060,14719,1310,1310,6,5,1,0,286,1310,0,0,2093,0,0,6702,3183,3519,3519,3519,2287,1511,3519,2287,0,0,14060,14060,1681,-206,-817,2080,0,0,-195,0,0,-10,1486,0,0,0,1681,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
SKC.NZ,30/06/2017,30/06/2017,0.037764278142037755,0.17005324979508574,False,883143,65862,817281,596688,220593,-16425,-112966,91203,48477,42726,0,0,662207,669682,42726,112021,1130,17555,-16425,65862,90523,42726,-94023,-94023,293304,0,-24728,2169820,1149880,1019940,1295563,1019940,239916,-156141,1393063,239916,373123,319097,661861,661861,266213,-151035,-147161,54026,86995,0,-151035,0,9524,-37116,115178,-182.8571,0,0,279524,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
SKL.NZ,30/06/2017,30/06/2017,0.2637977861865648,0.17005324979508574,True,210322,131857,78465,49028,29437,-1340,3313,31410,9300,22110,0,0,192806,192806,22110,22110,74,1414,-1340,131857,0,22110,0,0,32824,0,0,237932,78685,159247,201024,159247,114534,61053,201024,114534,41777,35755,192806,192806,21229,-12517,-12006,6022,9552,1632,-12695,0,5347,0,8534,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
