Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
WDT.NZ,31/12/2019,31/12/2019,0.0,0.0,False,61719,45085,16634,15018,1616,-871,18,640,192,448,0,0,0,0,448,448,19,890,-871,45085,2585,448,0,0,4115,0,0,37908,24801,13107,13291,13107,960,4056,14988,960,3061,0,375002,375002,2987,-3746,3134,3459,601,872,-3758,5757,8328,-10844,-771,0,0,1180,0,0,0,0,0,0,0,0.2509747483804454,0.19358555471817218,-0.2773990585479026
CDI.NZ,31/12/2016,30/12/2016,1.907889877084342,0.22088814672577128,True,74434,34330,40104,3559,36545,956,37,37538,10510,27028,0,0,276663,276663,27028,27028,956,0,956,34330,2,27028,0,0,36547,0,0,168277,6482,161795,161795,161795,161795,77159,161795,161795,0,0,276947,276947,38200,-40504,-5700,1989,10341,0,-4,0,0,0,38196,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
MCK.NZ,31/12/2016,30/12/2016,0.11376631180016039,0.22088814672577128,False,172035,72702,99333,38562,60771,772,8994,70537,20117,40447,0,0,158218,158218,40447,42458,2923,2151,772,72702,5837,40447,-2814,-2814,81339,0,-802.5467,713905,161624,552281,555063,455845,489063,119723,527649,455845,71804,56284,105479,105479,71009,-57884,-11739,15520,16571,2134,-32565,0,2000,-6523,38444,0,33218,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
NZM.NZ,31/12/2016,30/12/2016,0.6381203082225724,0.22088814672577128,True,394129,0,394129,374443,19686,-9007,2819,13498,64050,60618,0,0,196011,196011,60618,-64477,293,9300,-9007,0,23845,-64477,0,0,46643,0,0,483540,197981,285559,397727,285559,-44217,2920,397727,-44217,112168,95926,196011,196011,61682,83661,-140090,16242,22798,8811,-15956,0,54000,-183200,45726,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
NZR.NZ,31/12/2016,30/12/2016,0.04780869852562741,0.22088814672577128,False,343476,96074,247402,163723,83679,-15526,-3659,64494,17020,47177,0,0,312478,312478,47177,47218,151,15677,-15526,96074,87177,47177,-56,-56,167404,0,-14.7784,1289599,537396,752203,902203,752203,747778,-77809,971703,747778,219500,217825,312478,312478,127780,-81162,-52856,1675,25076,14871,-81162,0,19500,0,46618,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
NZX.NZ,31/12/2016,30/12/2016,0.10432775156843332,0.22088814672577128,False,77544,0,77544,62963,14581,-290,-612,13679,4497,9182,0,0,267914,267914,9182,9713,943,1233,-290,0,7936,9182,-791,-791,23639,0,-260.0429,193964,124289,69675,89675,69675,-3456,26701,89675,-3456,20000,0,268316,268316,13574,-6969,-16094,30804,7824,0,-6991,0,0,0,6583,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
PFI.NZ,31/12/2016,30/12/2016,0.11039966626832887,0.22088814672577128,False,70723,7259,63464,1055,62409,-17817,87491,132083,8671,123412,0,0,453286,453286,123412,123412,22,17839,-17817,7259,0,123412,0,0,149922,0,0,1121799,365661,756138,1089062,756138,727052,-2574,1089175,727052,333037,333037,455683,455683,32799,-10166,-23288,-113,8120,18105,0,0,2000,0,32799,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
PIL.NZ,31/12/2016,30/12/2016,-0.5199999664723866,0.22088814672577128,False,2665,773,1892,2297,-405,-44,-10,-459,0,-459,0,0,1157500,1157500,-459,-459,11,55,-44,773,23,-459,0,0,-381,0,0,3192,1507,1685,2604,1685,1558,2397,2724,1558,1039,0,1246277,1246277,-664,-40,1510,1827,0,44,-40,1510,0,0,-704,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
SCL.NZ,31/12/2016,30/12/2016,0.47288829393990595,0.22088814672577128,True,361569,257038,104531,62296,42235,-2366,12987,52856,14678,37772,0,0,139779,139779,37772,37736,167,2533,-2366,257038,12099,37772,50,50,67438,0,13.8849,330112,115522,214590,244184,214184,197217,18343,255184,197217,41000,34645,139779,139779,41342,-35311,-13508,6355,14627,2533,-20160,0,11000,0,21182,-1007,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
SEK.NZ,31/12/2016,30/12/2016,0.35089945759475394,0.22088814672577128,True,191317,157883,33434,20923,12511,-3345,4446,13612,3227,10385,0,0,17674,18425,10385,10686,1,3346,-3345,157883,7657,10385,-395,-395,25010,0,-93.6427,197309,111998,85311,154040,85311,70035,11783,159756,70035,74445,72757,19205,19205,21252,-39837,19223,1688,974,3325,-41802,1092,62026,-40773,-20550,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
SUM.NZ,31/12/2016,30/12/2016,0.1608016581275773,0.22088814672577128,False,85805,11607,74198,63216,10982,-8772,143459,145638,158,145480,0,0,217352,220324,145480,145480,249,9021,-8772,11607,3736,145480,0,0,158395,0,0,1706773,1161158,545615,819591,545615,544053,-45185,819591,544053,273976,265322,221338,221338,192610,-199857,9219,8654,0,0,-17303,4192,25764,1520,175307,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
TGG.NZ,31/12/2016,30/12/2016,0.0487477415108748,0.22088814672577128,False,837132,623036,214096,226796,-12700,-11906,66746,42095,9659,30478,0,0,121390,121390,30478,30478,244,12150,-11906,623036,21296,30478,0,0,75541,0,0,650586,303764,346822,488439,344439,318104,87693,493589,318104,150067,132086,122543,122543,39756,-1720,-33687,17064,2716,9041,-34045,0,0,-20500,5711,0,0,917,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
VGL.NZ,31/12/2016,30/12/2016,0.03368295424997991,0.22088814672577128,False,88589,0,88589,72898,15691,-100,37439,53030,3550,48620,0,0,168559,169980,48620,48620,480,580,-100,0,3352,48620,0,0,56962,0,0,191625,53258,138367,132487,127639,64565,52750,132487,64565,4848,0,171882,171882,5420,-17966,7983,21338,5484,317,-8243,7983,0,0,-2823,0,0,0,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
WDT.NZ,31/12/2016,30/12/2016,-0.07407777575867713,0.22088814672577128,False,35274,26821,8453,9963,-1510,-1123,206,-2427,51,-2478,0,0,313842,313842,-2478,-2478,8,1131,-1123,26821,1508,-2478,0,0,212,0,0,21488,18739,2749,2749,2749,-3165,-4130,10223,-3165,7533,5375,283041,283041,-48,-2215,1567,2099,69,345,-2217,8,1500,0,-2265,0,0,59,0,0,0,0,0,0,0,0.18439069525469964,0.22358353965319888,-0.4432989554278629
CDI.NZ,31/12/2017,29/12/2017,-0.04262127431454388,0.03456623851666252,False,78630,32635,45995,3508,42487,2144,37,44668,12507,32161,0,0,277325,277325,32161,32161,2144,0,2144,32635,0,32161,0,0,42487,0,0,191706,5594,186112,186112,186112,186112,95512,186112,186112,0,0,277514,277514,25882,-1000,-8097,18774,10968,0,0,0,0,0,25882,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
MCK.NZ,31/12/2017,29/12/2017,0.12984757418055914,0.03456623851666252,True,187267,74847,112420,39652,72768,2095,80,74943,19847,43116,0,0,158218,158218,43116,43116,3992,1897,2095,74847,0,43116,0,0,76840,0,0,828225,164535,663690,654880,555662,588880,148274,621662,555662,66000,31805,105479,105479,52922,-17746,-17377,34195,19782,1859,-14466,0,0,-5804,38456,0,33218,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
NZM.NZ,31/12/2017,29/12/2017,-0.3719985401596466,0.03456623851666252,False,374900,0,374900,350226,24674,-4358,9016,29332,8447,20885,0,0,196011,196011,20885,21062,139,4497,-4358,0,24946,20885,-248,-248,59023,0,-71.4188,468085,179053,289032,388820,289032,-41521,2358,388820,-41521,99788,90218,196011,196011,39455,-15019,-31108,9570,5610,5804,-15046,0,84000,-96486,24409,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
NZR.NZ,31/12/2017,29/12/2017,-0.116969694095722,0.03456623851666252,False,401328,101388,299940,171453,128487,-13747,-4284,110456,31926,78530,0,0,312376,312376,78530,78991,244,13991,-13747,101388,94736,78530,-649,-649,219832,0,-187.5858,1332725,539950,792775,962775,792775,784627,-17620,962775,784627,172695,152443,312576,312576,197998,-94570,-87546,17557,23075,14068,-94570,0,0,-49500,103428,-370,0,2695,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
NZX.NZ,31/12/2017,29/12/2017,-0.08716077530762667,0.03456623851666252,False,75325,0,75325,53754,21571,-423,-252,20896,6059,14837,0,0,268437,268437,14837,15083,880,1303,-423,0,7042,14837,-347,-347,29588,0,-100.6161,179789,111066,68723,88723,68723,-1496,17765,88723,-1496,20000,0,268476,268476,24384,-6077,-14230,34881,6072,92,-6084,0,0,0,18300,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
PFI.NZ,31/12/2017,29/12/2017,0.09270530341143113,0.03456623851666252,True,72989,5355,67634,2812,64822,-17740,2460,49542,-2142,51684,0,0,459600,459600,51684,51684,28,17768,-17740,5355,26,51684,0,0,67336,0,0,1242190,399247,842943,1213578,842943,813857,-6701,1213578,813857,370635,370030,498723,498723,2005,-75408,74121,605,2611,19244,-15,67690,161400,-122400,1990,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
PIL.NZ,31/12/2017,29/12/2017,-0.7916666666666666,0.03456623851666252,False,2332,642,1690,2599,-909,-42,92,-859,0,-859,0,0,1264678,1264678,-859,-859,22,64,-42,642,23,-859,0,0,-772,0,0,2295,1276,1019,1458,1019,894,1251,1938,894,919,595,1272397,1272397,-1526,-24,47,324,0,42,-24,167,0,-120,-1550,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
SCL.NZ,31/12/2017,29/12/2017,-0.06787816968642013,0.03456623851666252,False,393482,287102,106380,66785,39595,-2864,7227,43958,12187,31330,0,0,138738,139244,31330,31330,175,3039,-2864,287102,14249,31330,0,0,61246,0,0,342506,120589,221917,261476,221476,201488,32995,267976,201488,46500,40810,139789,139789,32368,-13450,-19583,5690,13271,3039,-13480,0,62500,-57000,18888,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
SEK.NZ,31/12/2017,29/12/2017,-0.2470628195098944,0.03456623851666252,False,186814,151537,35277,21695,13582,-3781,107,9908,4075,5833,0,0,18233,18871,5833,7142,0,3781,-3781,151537,8702,5833,-1818,-1818,24209,0,-509.04,222023,123398,98625,173308,98625,81898,8791,184135,81898,85510,83121,19273,19273,14058,-22183,6886,2389,4167,3756,-24358,916,41760,-32600,-10300,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
SUM.NZ,31/12/2017,29/12/2017,0.1510215968539217,0.03456623851666252,True,110309,13864,96445,79351,17094,-11303,217969,223726,290,223436,0.001,0.001,218555,222413,223436,223421,184,11487,-11303,13864,4628,223436,15,15,239826,0,0.0194,2216328,1447044,769284,1116454,769284,763722,-82843,1116454,763722,347170,339604,219740,219740,207716,-257494,48690,7566,0,0,-17171,7564,100000,-26136,190545,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
TGG.NZ,31/12/2017,29/12/2017,-0.06416078988299723,0.03456623851666252,False,1054172,830477,223695,260173,-36478,-11112,69947,22325,-272,19379,0,0,122543,122543,19379,29426,891,12003,-11112,830477,23379,19379,-13954,-13954,71661,0,-3907,798716,373123,425593,577552,413774,376142,98522,595516,376142,182659,155342,122543,122543,13722,-15018,10086,26400,8853,8952,-23658,0,37100,-9812,-9936,0,0,917,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
VGL.NZ,31/12/2017,29/12/2017,0.4176804771463296,0.03456623851666252,True,106623,0,106623,86034,20589,-330,-3446,16813,6830,9676,0,0,172478,172478,9676,9676,350,680,-330,0,3628,9676,0,0,17493,0,0,204235,56134,148101,147586,136877,57972,51082,148200,57972,11323,0,172802,172802,11045,-10405,25,20954,6784,259,-6634,0,6475,0,4411,0,0,0,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
WDT.NZ,31/12/2017,29/12/2017,0.187499600019839,0.03456623851666252,True,43308,32967,10341,9356,985,-889,-1993,-1897,83,-1980,0,0,314020,314020,-1980,-1980,45,934,-889,32967,1546,-1980,0,0,583,0,0,24163,17028,7135,9135,7135,204,2087,9699,204,2598,1001,314088,314088,1257,-2618,1045,1563,24,522,-2618,-13,1083,0,-1361,0,0,34,0,0,0,0,0,0,0,0.17504791725837854,0.23879295941278267,-0.019538211594748334
CDI.NZ,31/12/2018,31/12/2018,0.1219979093068535,0.2923857941157564,False,84954,36264,48690,3699,44991,1652,76,46719,13078,33641,0,0,277917,277917,33641,33641,1652,0,1652,36264,1,33641,0,0,44992,0,0,217614,7020,210594,210594,210594,210594,86007,210594,210594,0,0,278118,278118,-9906,7880,-9468,7280,11390,0,0,0,0,0,-9906,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
MCK.NZ,31/12/2018,31/12/2018,-0.08485693477231915,0.2923857941157564,False,218838,89004,129834,46758,83076,1994,32,85102,23146,49375,0,0,105479,105479,49375,49374,3742,1748,1994,89004,8187,49375,2,2,95035,0,0.544,898182,174309,723873,704259,607041,640259,168485,671041,607041,64000,49563,105479,105479,29686,-33728,-15724,14437,20044,1755,-14375,0,0,-2000,15311,0,33218,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
NZM.NZ,31/12/2018,31/12/2018,-0.19999998807907104,0.2923857941157564,False,374421,0,374421,358755,15666,-4556,5278,16388,4816,11735,0,0,196011,196011,11735,13365,80,4636,-4556,0,24555,11735,-2308,-2308,47887,0,-678.2602,462777,176141,286636,395691,285699,-44212,21139,395691,-44212,109992,98275,196011,196011,21842,-14099,-5596,11717,14078,4096,-14080,0,107400,-96900,7762,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
NZR.NZ,31/12/2018,31/12/2018,-0.17850206198027607,0.2923857941157564,False,304509,110143,194366,179727,14639,-13800,40933,41772,12156,29616,0,0,312243,312243,29616,29629,104,13904,-13800,110143,96424,29616,-18,-18,152118,0,-5.2381,1390326,620690,769636,978237,769636,755327,-49872,1028237,755327,261075,257822,312576,312576,104636,-162316,40902,779,11551,13727,-162316,0,88601,0,-57680,-291,0,2474,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
NZX.NZ,31/12/2018,31/12/2018,0.3802457899339111,0.2923857941157564,True,67493,0,67493,46620,20873,-862,-322,19689,6045,11620,0,0,269621,269621,11620,13889,1005,1867,-862,0,6425,13644,-353,-353,28334,0,-108.3796,180794,117312,63482,102279,63482,-3245,36826,102279,-3245,38797,0,271771,271771,24076,-14834,1262,45385,4800,782,-9385,0,40000,-20000,14691,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
PFI.NZ,31/12/2018,31/12/2018,0.37081115149611965,0.2923857941157564,True,89062,12570,76492,4616,71876,-18760,69180,122296,12202,110094,0,0,498723,498723,110094,110094,6,18766,-18760,12570,55,110094,0,0,141117,0,0,1358898,443763,915135,1313357,915135,886049,-16468,1313357,886049,398222,396570,498723,498723,53746,-43147,-9552,1652,49,19170,-22,0,100000,-71650,53724,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
PIL.NZ,31/12/2018,31/12/2018,0.0,0.2923857941157564,False,575,531,44,2469,-2425,-41,54,-2412,0,-2412,0,0,737667,737667,-2412,-2307,1,42,-41,531,28,-2412,-105,-105,-2237,0,0,1851,1053,798,1394,798,787,1273,1582,787,784,272,1901797,1901797,-1799,-47,2034,512,0,40,-47,2169,0,-135,-1846,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
SCL.NZ,31/12/2018,31/12/2018,0.16972744420112762,0.2923857941157564,False,397808,312228,85580,49759,35821,-2430,6676,40067,11044,45084,0,0,139869,140449,45084,28556,265,2695,-2430,312228,9247,28608,72,72,51937,0,19.846,411087,161214,249873,310956,246292,201286,129931,318034,201286,71742,68952,139908,139908,36567,-31687,-4741,5770,12652,2695,-16416,0,102774,-82000,20151,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
SEK.NZ,31/12/2018,31/12/2018,0.14347170712414847,0.2923857941157564,False,203713,165040,38673,24143,14530,-4526,634,10638,3220,7418,0,0,19901,20606,7418,8287,23,4549,-4526,165040,9780,7418,-1246,-1246,26213,0,-377.1498,269806,116430,153376,212737,153376,133667,26750,233776,133667,80400,79060,29317,29317,12174,-52859,40223,1340,4915,4634,-37288,48135,62249,-66526,-25114,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
SUM.NZ,31/12/2018,31/12/2018,0.25300036844867657,0.2923857941157564,False,136791,10967,125824,108160,17664,-11369,209930,216173,1670,214503,0,0,220835,224799,214503,214503,226,11595,-11369,10967,6685,214503,0,0,234453,0,0,2766367,1787568,978799,1431559,978799,972171,-139888,1431559,972171,452760,445278,221734,221734,217803,-290396,72509,7482,0,0,-17168,0,125000,-21337,200635,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
TGG.NZ,31/12/2018,31/12/2018,0.02787462206084701,0.2923857941157564,False,1142534,907057,235477,268023,-32546,-12166,57976,13242,2848,3581,0,0,122543,122543,3581,7287,841,13007,-12166,907057,23246,5657,-2077,-2077,51572,0,-446.7071,748169,334549,413620,546345,400299,363702,106425,550210,363702,150259,113133,122543,122543,39249,28124,-55589,36778,7142,9128,-30179,0,22000,-53746,9070,0,0,348,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
VGL.NZ,31/12/2018,31/12/2018,-0.060124077362090134,0.2923857941157564,False,130716,0,130716,106616,24100,-640,-2415,21045,8011,12258,0,0,173377,175157,12258,12258,404,1044,-640,0,4156,12258,0,0,26245,0,0,221086,61690,159396,158156,146212,61824,52898,158156,61824,11944,0,173618,173618,27579,-10119,-5860,34353,8192,677,-10402,0,213,0,17177,0,0,0,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
WDT.NZ,31/12/2018,31/12/2018,-0.06396430094868677,0.2923857941157564,False,58761,44505,14256,11009,3247,-905,-2794,-452,261,-713,0,0,314257,314257,-713,-713,7,912,-905,44505,2011,-713,0,0,2471,0,0,35625,29251,6374,6374,6374,-2596,-1604,10268,-2596,5642,2961,314502,314502,1849,-3893,1318,933,274,912,-2526,19,3643,-2348,-677,0,0,1748,0,0,0,0,0,0,0,-0.09420209694382264,-0.08787070244966844,1.572874471847351
FSF.NZ,31/07/2016,29/07/2016,0.10843447133534756,0.05234258557230165,True,138562,0,0,0,0,0,0,43359,0,43359,0,0,111992,111992,43359,43359,0,0,0,0,0,43359,0,0,0,0,0,600434,0,600434,0,600434,600434,0,0,600434,0,0,111992,111992,3770,0,-3770,0,0,0,0,135734,0,0,3770,-103686,0,0,0,-95202,0,0,0,0,0,0.04295922227190507,0.05915128794308222,-0.13420861761256297
HLG.NZ,31/07/2016,29/07/2016,0.3007232270421909,0.05234258557230165,True,223510,96920,126590,108631,17959,318,784,19061,5382,13679,0,0,59649,59649,13679,13679,318,0,318,96920,0,13679,0,0,17959,0,0,78628,22751,55877,55877,55877,55384,16866,55877,55384,0,0,59107,59107,14100,-5556,-18074,14191,7495,0,-5917,0,0,0,8183,-179,0,0,0,0,0,0,0,0,0,0.04295922227190507,0.05915128794308222,-0.13420861761256297
KMD.NZ,31/07/2016,29/07/2016,0.9534566554106914,0.05234258557230165,True,425593,159232,266361,215480,50881,-3556,0,47325,13804,33521,0,0,298422,298422,33521,33521,26,3582,-3556,159232,13917,33521,0,0,64824,0,0,413253,104120,309133,352824,309133,75118,47533,352824,75118,43691,36800,298423,298423,69080,-23191,-40730,6891,15331,2829,-23196,0,63047,-87658,45884,0,0,0,0,0,0,0,0,0,0,0.04295922227190507,0.05915128794308222,-0.13420861761256297
SML.NZ,31/07/2016,29/07/2016,0.29772152853259204,0.05234258557230165,True,546866,426890,119976,58309,61667,-14485,-1151,48394,14011,34383,0,0,151045,151045,34383,34383,18,14485,-14485,426890,22687,34383,0,0,62879,0,0,590456,333613,256843,425751,256843,252703,29291,472297,252703,215454,213409,151045,151045,103903,-40940,-62447,2045,19,0,-41038,0,82081,-88624,62865,0,0,0,0,0,0,0,0,0,0,0.04295922227190507,0.05915128794308222,-0.13420861761256297
WHS.NZ,31/07/2016,29/07/2016,-0.18119988634465978,0.05234258557230165,False,2945034,1966510,978524,877592,100932,-17707,23255,106296,23820,78338,0,0,344737,423449,78338,74930,204,17911,-17707,1966510,59660,78338,4392,4392,179475,0,984.2086,1242888,729980,512908,736910,512741,346347,272490,860890,346347,349861,298268,344495,344495,162460,-42350,-102424,49881,28037,16495,-75180,0,1496,-41825,87280,-2531,0,1712,0,0,0,0,0,0,0,0.04295922227190507,0.05915128794308222,-0.13420861761256297
FSF.NZ,31/07/2017,31/07/2017,-0.08804041031873222,0.15903316382028088,False,74262,0,0,0,0,0,0,34781,0,34781,0,0,126047,126047,34781,34781,0,0,0,0,0,34781,0,42000,0,0,0,717240,0,717240,0,717240,717240,0,0,717240,0,0,126047,126047,-44181,0,44181,0,0,0,0,161685,0,0,-44181,-89303,0,0,0,-39481,0,0,0,0,0,0.13551432547018472,0.18358138913076938,-0.14854771232529462
HLG.NZ,31/07/2017,31/07/2017,0.7566198723162225,0.15903316382028088,True,239004,98350,140654,117777,22877,239,954,24070,6801,17269,0,0,59649,59649,17269,17269,239,0,239,98350,0,17269,0,0,22877,0,0,85144,26671,58473,58473,58473,57934,11376,58473,57934,0,0,58947,58947,29195,-11970,-18864,12552,5972,0,-12138,0,0,0,17057,-373,0,0,0,0,0,0,0,0,0,0.13551432547018472,0.18358138913076938,-0.14854771232529462
KMD.NZ,31/07/2017,31/07/2017,0.4466239803017591,0.15903316382028088,True,445348,169165,276183,219179,57004,-2030,137506,54974,16935,38039,0,0,298429,301285,38039,38039,28,2058,-2030,169165,13826,38039,0,0,70858,0,0,439067,111967,327100,337531,327100,48086,31783,337531,48086,10431,6894,298441,298441,67273,-13275,-57382,3537,14571,2162,-13276,0,90330,-123533,53997,0,0,0,67273,0,0,0,0,0,0,0.13551432547018472,0.18358138913076938,-0.14854771232529462
SML.NZ,31/07/2017,31/07/2017,1.4099098358939166,0.15903316382028088,True,713474,590831,122643,60924,61719,-10727,-641.098,50352,14421,35931,0,0,173205,173205,35931,35931,16.9205,10744,-10727,590831,21633,35931,0,0,82728,0,0,708427,338918,369509,448130,369509,363033,24588,516233,363033,146724,77325,179223,179223,108268,-56544,15754,69399,9559,0,-31287,89687,0,-86863,76981,0,0,0,115175,0,0,0,0,0,0,0.13551432547018472,0.18358138913076938,-0.14854771232529462
WHS.NZ,31/07/2017,31/07/2017,0.014000196339112758,0.15903316382028088,False,2980771,2008859,971912,870764,101148,-12440,6084,94705,23691,20429,0,0,344802,344802,20429,71703,0,12440,-12440,2008859,58376,70712,-1321,-1321,166842,0,-330.4557,1113852,627463,486389,644806,485522,357796,246374,693965,357796,209046,160951,344497,344497,128088,8562,-139039,47492,27454,16008,-70575,0,0,-83229,57513,-2148,0,603,0,0,0,0,0,0,0,0.13551432547018472,0.18358138913076938,-0.14854771232529462
FSF.NZ,31/07/2018,31/07/2018,-0.2519531231810106,0.2052277637797688,False,35829,0,0,0,0,0,0,35829,0,35829,0,0,111424,111424,35829,35829,0,0,0,0,0,35829,0,0,0,0,0,523656,0,523656,0,523656,523656,0,0,523656,0,0,111424,111424,99219,0,-99219,0,0,0,0,111162,0,0,99219,-181902,0,0,0,0,0,0,0,0,0,0.1550646105881821,0.1634855379491642,-0.200124738690874
HLG.NZ,31/07/2018,31/07/2018,0.14568979184721598,0.2052277637797688,False,277642,107567,170075,133076,36999,251,820,38070,10709,27361,0,0,59649,59649,27361,27361,251,0,251,107567,0,27361,0,0,36999,0,0,92121,23781,68340,68340,68340,67780,21565,68340,67780,0,0,59186,59186,35312,-8325,-22086,17453,10731,0,-9312,0,0,0,26000,-17,0,0,0,0,0,0,0,0,0,0.1550646105881821,0.1634855379491642,-0.200124738690874
KMD.NZ,31/07/2018,31/07/2018,-0.2700029573076288,0.2052277637797688,False,497437,181961,315476,240866,74610,-1059,0,73551,23019,50532,0,0,312903,315797,50532,50532,47,1106,-1059,181961,15151,50532,0,0,89808,0,0,614617,194235,420382,459882,420382,30063,55896,459882,30063,39500,31354,333718,333718,75601,-121620,50402,8146,18554,2087,-16694,48702,148815,-119907,58907,0,0,0,0,0,0,0,0,0,0,0.1550646105881821,0.1634855379491642,-0.200124738690874
SML.NZ,31/07/2018,31/07/2018,-0.10018383650025375,0.2052277637797688,False,807534,634064,173470,70366,103104,-7300,-434.5429,95370,26878,68492,0,0,179223,179223,68492,68492,939.8254,8240,-7300,634064,23478,68492,0,0,127088,0,0,729151,338941,390210,479384,390210,376711,2886,524695,376711,134484,104967,179223,179223,90390,-109723,-18975,29517,12783,0,-110509,0,0,12586,-20119,0,0,0,0,0,0,0,0,0,0,0.1550646105881821,0.1634855379491642,-0.200124738690874
WHS.NZ,31/07/2018,31/07/2018,0.09410878445696946,0.2052277637797688,False,2994571,2003396,991175,906913,84262,-9135,-26955,48142,20636,22878,0,0,344916,344916,22878,52262,1494,10629,-9135,2003396,59630,27264,-34720,-34720,153121,0,-9722,1049748,569464,480284,624308,479405,364074,256079,668023,364074,188794,162163,345050,345050,107914,-40711,-88240,26455,14082,9307,-70229,0,0,-31999,37685,0,0,176,0,0,0,0,0,0,0,0.1550646105881821,0.1634855379491642,-0.200124738690874
